time,OD,replicate,substrate,species,dilution_rate
0.1001472222222222,0.04851165811372926,replicate_1,acetate,Ct,0.15
0.1168361111111111,0.04854919428092774,replicate_1,acetate,Ct,0.15
0.1335222222222222,0.04900775760369935,replicate_1,acetate,Ct,0.15
0.1502111111111111,0.04922846394563551,replicate_1,acetate,Ct,0.15
0.1669,0.04952965414689192,replicate_1,acetate,Ct,0.15
0.1835888888888889,0.04970087731761064,replicate_1,acetate,Ct,0.15
0.2002722222222222,0.0473114703134927,replicate_1,acetate,Ct,0.15
0.21695,0.04879606325786501,replicate_1,acetate,Ct,0.15
0.2336277777777777,0.04927439690190605,replicate_1,acetate,Ct,0.15
0.2503166666666667,0.04957951429301044,replicate_1,acetate,Ct,0.15
0.2669972222222222,0.04907079901526501,replicate_1,acetate,Ct,0.15
0.2836777777777778,0.05051907789928389,replicate_1,acetate,Ct,0.15
0.3003666666666666,0.05048517058095747,replicate_1,acetate,Ct,0.15
0.3170444444444444,0.05001699765888157,replicate_1,acetate,Ct,0.15
0.333725,0.05031291739044708,replicate_1,acetate,Ct,0.15
0.3504111111111111,0.05025404193320782,replicate_1,acetate,Ct,0.15
0.3670972222222222,0.05135804659831278,replicate_1,acetate,Ct,0.15
0.3837861111111112,0.05150137052768011,replicate_1,acetate,Ct,0.15
0.4004722222222222,0.05004529931064283,replicate_1,acetate,Ct,0.15
0.4171638888888889,0.05098641154006245,replicate_1,acetate,Ct,0.15
0.4338527777777778,0.0521955928645883,replicate_1,acetate,Ct,0.15
0.4505444444444445,0.05297337498902932,replicate_1,acetate,Ct,0.15
0.4672222222222223,0.05340714942396296,replicate_1,acetate,Ct,0.15
0.4839027777777778,0.05474011827170555,replicate_1,acetate,Ct,0.15
0.5005916666666667,0.05445870456756818,replicate_1,acetate,Ct,0.15
0.5172722222222222,0.05526817029973907,replicate_1,acetate,Ct,0.15
0.53395,0.0551754782012237,replicate_1,acetate,Ct,0.15
0.5506361111111111,0.05536258916078207,replicate_1,acetate,Ct,0.15
0.5673194444444445,0.05750705583268223,replicate_1,acetate,Ct,0.15
0.5840055555555556,0.05738856776416634,replicate_1,acetate,Ct,0.15
0.6006944444444444,0.05615649877207041,replicate_1,acetate,Ct,0.15
0.6173750000000001,0.05576096467431091,replicate_1,acetate,Ct,0.15
0.6340611111111111,0.05557868362807117,replicate_1,acetate,Ct,0.15
0.6507499999999999,0.05514552931099459,replicate_1,acetate,Ct,0.15
0.6674361111111111,0.05601363479102162,replicate_1,acetate,Ct,0.15
0.6841222222222222,0.05856939331441824,replicate_1,acetate,Ct,0.15
0.7008,0.0593821037732174,replicate_1,acetate,Ct,0.15
0.7174805555555555,0.05920951571515154,replicate_1,acetate,Ct,0.15
0.7341638888888888,0.0593826773307411,replicate_1,acetate,Ct,0.15
0.7508583333333334,0.06043251079530343,replicate_1,acetate,Ct,0.15
0.7675333333333333,0.06118535811689263,replicate_1,acetate,Ct,0.15
0.7842111111111111,0.06140247578644331,replicate_1,acetate,Ct,0.15
0.8008972222222223,0.06237577318016152,replicate_1,acetate,Ct,0.15
0.8175861111111111,0.0612696446856158,replicate_1,acetate,Ct,0.15
0.834275,0.06076084286379846,replicate_1,acetate,Ct,0.15
0.8509583333333333,0.05997290948782119,replicate_1,acetate,Ct,0.15
0.8676444444444444,0.05993727696118789,replicate_1,acetate,Ct,0.15
0.884325,0.06194599906539056,replicate_1,acetate,Ct,0.15
0.9010083333333334,0.06257640309209656,replicate_1,acetate,Ct,0.15
0.9176888888888889,0.06149665033371088,replicate_1,acetate,Ct,0.15
0.934375,0.06221062108929987,replicate_1,acetate,Ct,0.15
0.9510527777777777,0.06236186192266091,replicate_1,acetate,Ct,0.15
0.9677305555555555,0.06291129592757061,replicate_1,acetate,Ct,0.15
0.9844111111111111,0.06433595934546732,replicate_1,acetate,Ct,0.15
1.001088888888889,0.06421283077599726,replicate_1,acetate,Ct,0.15
1.017775,0.064330122660063,replicate_1,acetate,Ct,0.15
1.034461111111111,0.06467469301354178,replicate_1,acetate,Ct,0.15
1.051141666666667,0.06216254226116158,replicate_1,acetate,Ct,0.15
1.067822222222222,0.06047338755730758,replicate_1,acetate,Ct,0.15
1.084505555555555,0.06212142106314866,replicate_1,acetate,Ct,0.15
1.101194444444445,0.06240823543776708,replicate_1,acetate,Ct,0.15
1.117883333333334,0.06200040879009894,replicate_1,acetate,Ct,0.15
1.134563888888889,0.0614602478706483,replicate_1,acetate,Ct,0.15
1.15125,0.06134298285386208,replicate_1,acetate,Ct,0.15
1.167941666666667,0.06271158946360567,replicate_1,acetate,Ct,0.15
1.184625,0.06319949283890614,replicate_1,acetate,Ct,0.15
1.201302777777778,0.06144984802599707,replicate_1,acetate,Ct,0.15
1.217983333333333,0.06246795251889647,replicate_1,acetate,Ct,0.15
1.234672222222222,0.06495533093986516,replicate_1,acetate,Ct,0.15
1.251355555555556,0.06458062460292213,replicate_1,acetate,Ct,0.15
1.268036111111111,0.06405360161848206,replicate_1,acetate,Ct,0.15
1.284713888888889,0.0654863798488865,replicate_1,acetate,Ct,0.15
1.3014,0.06554381852820468,replicate_1,acetate,Ct,0.15
1.318083333333333,0.06645266346705547,replicate_1,acetate,Ct,0.15
1.334761111111111,0.06730131608589396,replicate_1,acetate,Ct,0.15
1.35145,0.06759755860485983,replicate_1,acetate,Ct,0.15
1.368138888888889,0.06868663678756048,replicate_1,acetate,Ct,0.15
1.384825,0.06955509742311872,replicate_1,acetate,Ct,0.15
1.401505555555556,0.06888763586529079,replicate_1,acetate,Ct,0.15
1.418191666666667,0.07046916957346472,replicate_1,acetate,Ct,0.15
1.434869444444444,0.06931560426214212,replicate_1,acetate,Ct,0.15
1.451558333333333,0.06998883954604285,replicate_1,acetate,Ct,0.15
1.468244444444444,0.06974838465202327,replicate_1,acetate,Ct,0.15
